"word","forms","kind","pos","doc_freq","mean_surprisal","examples","verdict","meaning","pos_llm","origin","register","pos_llm_norm"
"пикми","пикми / пикмуха","slang","сущ.","415","25.562485679533452","Ксюша больше приходит в отличной с Настей которая похожа на пикми и Алисы которая похожа на шланен ||| Расскажите ей значение слова пикми пожалуйста ||| ​@Карина35-в6о любить розовый это не пикми пикми это характер","","что-то положительное, хорошее, вероятно связанное с внешностью или характером человека","существительное или прилагательное","неясно","мем/сленг","сущ."
"fanum","fanum","lat","сущ.","227","16.675106977487538","Fanum be the fkn kool aid man ||| He ain't fanum tax no more bro is food taxes ||| Bro fanum taxed him hard","meme","Шутливое обозначение ситуации, когда кто-то неожиданно получает выгоду или преимущество за счёт других, часто в контексте интернет-конкуренции или стримов.","существительное (в роли мема)","от имени стримера и ютубера Fanum (Фанум), известного своей агрессивной тактикой в играх и стримах","мем/сленг","сущ."
"мем","мем / мема / мемам / мемами / мемах / меме / мемов / мемом / мему / мемы","ru_dict","сущ.","220","13.834500448733602","Это мем 2019, лол ​@ОльгаГусева-й8л ||| Это лучшие мемы ||| Предки итальянских мемов это мышки сосиски и крыски ириски","","","","","",""
"rizz","rizz","lat","сущ.","216","19.916292993477107","Bro has rizz ||| ey ey 6 7 in rizz ||| I’mma Be your 1&Only cuz I got that Rizz","meme","умение нравиться, привлекательность, харизма, способность очаровывать собеседника","существительное","английское (от ""charisma"")","мем/сленг","сущ."
"skibidi","skibidi","lat","сущ.","192","27.081355134025216","Atleast let's just bring skibidi toilet back🥀🙏 ||| I hate skibidi toilet too ||| Skibidi toilet was mid than this","meme","шутливое или ироничное название туалета, используемое в мемах или интернет-культуре, часто с негативной коннотацией","существительное","мема из интернет-культуры, возможно связано с мемом 'Skibidi Toilet' из серии 'Skibidi Toilet' или схожих мемов","мем/сленг","сущ."
"брейнрот","браинрот / бреинрот / бреинротов / брейнрот / брейнрота / брейнротов / брейнроты / бренрот / брэинрот","slang","сущ.","191","34.76875184421071","Продолжение брейнрот:❌ продолжение мышки сосиски:✅ ||| Самый первый брейнрот это мышка сосиска ||| Казакский браинрот: бас бас котакбас кодилас ас","","шутливое или ироничное название для нелепого, бессмысленного или неправильного продолжения текста, часто с искажением слов или фраз","существительное","искажение английского 'brain rot' (буквально 'гниение мозга'), мем-термин, означающий деградацию мышления из-за интернет-контента","мем/сленг","сущ."
"тралала","тралала","slang","имя","179","20.6917024018036","Ахахах меня ограбили и они получили тралалеро тралала а я ограбил их же в эту секунду но самми паука🗿 ||| С кем трейд с удин дин дин дун обычный , лос бомбинитос обычный 220 к, тралалеро тралала алмазная 75 к, кокофанто элефанто лавовый 105 к. ||| у меня тоже такое было я у чела украл Los pot hotspot а у мя украли тралалеро тралала","","неясно","неясно","неясно","мем/сленг","неясно"
"хороший","лучшего / лучшей / лучшие / лучший / получше / хорош / хорошая / хорошей / хорошем / хороший / хорошую","ru_dict","прил.","178","10.754862338280255","Это лучшие мемы ||| Я думал тебе в ответах обиженные дети будут писать что брайнрот хорошая игра ||| Клип самый лучший","","","","","",""
"крокодило","кракадило / крокодилдо / крокодило / крокодина","slang","имя","176","25.304809810709553","Видели рекламу винлайн? Фрибетино крокодило этот ||| Это ""очень"" похоже на крокодило бомбардиро ||| бомбордиро крокодило","","что-то, что вызывает недоумение, выглядит странно или вызывает ассоциации с крокодилом (возможно, из-за нелепого или вызывающего образа).","существительное или прилагательное (в зависимости от контекста)","вероятно, мемное искажение слова 'крокодил' в контексте 'крокодиловы слёзы' или 'крокодил' как символ чего-то нелепого/странного.","мем/сленг","сущ."
"тралалело","тралалело / тралалео / тралалеро / тралалэло / тралело","slang","имя","171","30.519223409451065","Ахахах меня ограбили и они получили тралалеро тралала а я ограбил их же в эту секунду но самми паука🗿 ||| С кем трейд с удин дин дин дун обычный , лос бомбинитос обычный 220 к, тралалеро тралала алмазная 75 к, кокофанто элефанто лавовый 105 к. ||| у меня тоже такое было я у чела украл Los pot hotspot а у мя украли тралалеро тралала","","неясно","неясно","неясно","мем/сленг","неясно"
"имба","имба","slang","сущ.","168","17.225335152885492","Ну кнш лос комбо на триппи тропу имба трейд 😊обмен хароший😊 ||| Это правда имба 0:41 ||| Это имба 0:35","","очень круто, отлично, супер","прилагательное (в роли сказуемого)","сокращение от английского 'imbalanced' (неуравновешенный, но в сленге — 'слишком мощный')","мем/сленг","прил."
"бомбардиро","бомбадиро / бомбандиро / бомбардило / бомбардиро / бомбордило / бомбордиро","slang","имя","152","26.754246932750394","Это ""очень"" похоже на крокодило бомбардиро ||| бомбордиро крокодило ||| Вообще-то не бомбардиро крокодило а итальянских мемов","","неясно","неясно","неясно","мем/сленг","неясно"
"украсть","украдено / укради / украдите / украдут / украдёт / украл / украла / украли / украсть","ru_dict","глаг.","147","13.318741519368338","Да у нее Лос комбинос а он секретный а он украл бог брейнрот 😂 ||| Я такую же трипи тропи тропа трипи украл :) ||| Я успел там другого слова выйти точнее из игры Я успел выйти пока никто не украли","","","","","",""
"сигма","сигма / сигмам / сигмой / сигму / сигмы","ru_dict","сущ.","139","20.71033305654037","Сигма шашлыка сгенерировал Шеф Ивлиев ||| Сигму шашлык походу просто армянин ||| сигму шашлык","","мем, означающий что-то очевидное, банальное или предсказуемое, часто с иронией или сарказмом","существительное (в значении мема)","от греческой буквы сигма (Σ), символизирующей стандартное отклонение в статистике, что ассоциируется с типичностью или среднестатистичностью","мем/сленг","сущ."
"перевод","перевод / перевода / переводе / переводы","ru_dict","сущ.","136","12.140117429534595","Э​то перевод@games-danial ||| Ты читала перевод итальянских мемов ||| оч круто подбор синтов конечно ну так а в целом вокал и перевод крайне хорошие","","","","","",""
"трек","трек / трека / треке / треки","ru_dict","сущ.","134","12.759530253012642","Офигенный трек начало вообще понравилось 0:14 изменено: забыл добавить вот этот момент очень красивыи́ с игрой ||| це дуже крутий трек дякую авторам и их 4 отцам за то что родились ||| трек бомба всей семьей слушаем , дед в танце упал в окно","","","","","",""
