canonical,forms,pos,doc_freq,mean_surprisal,examples,meaning,kind
пикми,пикми / пикмуха,сущ.,415,25.562485679533452,Ксюша больше приходит в отличной с Настей которая похожа на пикми и Алисы которая похожа на шланен ||| Расскажите ей значение слова пикми пожалуйста ||| ​@Карина35-в6о  любить розовый это не пикми пикми это характер,"что-то положительное, хорошее, вероятно связанное с внешностью или характером человека",slang
fanum,fanum,сущ.,227,16.675106977487538,Fanum be the fkn kool aid man ||| He ain't fanum tax no more bro is food taxes ||| Bro fanum taxed him hard,"Шутливое обозначение ситуации, когда кто-то неожиданно получает выгоду или преимущество за счёт других, часто в контексте интернет-конкуренции или стримов.",lat
мем,мем / мема / мемам / мемами / мемах / меме / мемов / мемом / мему / мемы,сущ.,220,13.834500448733602,"Это мем 2019, лол ​@ОльгаГусева-й8л ||| Это лучшие мемы ||| Предки итальянских мемов это мышки сосиски и крыски ириски",,ru_dict
rizz,rizz,сущ.,216,19.916292993477107,Bro has rizz ||| ey ey 6 7 in rizz ||| I’mma Be your 1&Only cuz I got that Rizz,"умение нравиться, привлекательность, харизма, способность очаровывать собеседника",lat
skibidi,skibidi,сущ.,192,27.081355134025216,Atleast let's just bring skibidi toilet back🥀🙏 ||| I hate skibidi toilet too ||| Skibidi toilet was mid than this,"шутливое или ироничное название туалета, используемое в мемах или интернет-культуре, часто с негативной коннотацией",lat
брейнрот,браинрот / бреинрот / бреинротов / брейнрот / брейнрота / брейнротов / брейнроты / бренрот / брэинрот,сущ.,191,34.76875184421071,Продолжение брейнрот:❌ продолжение мышки сосиски:✅ ||| Самый первый брейнрот это мышка сосиска ||| Казакский браинрот: бас бас котакбас кодилас ас,"шутливое или ироничное название для нелепого, бессмысленного или неправильного продолжения текста, часто с искажением слов или фраз",slang
тралала,тралала,имя,179,20.6917024018036,"Ахахах меня ограбили и они получили тралалеро тралала а я ограбил их же в эту секунду но самми паука🗿 ||| С кем трейд с удин дин дин дун обычный , лос бомбинитос обычный 220 к, тралалеро тралала алмазная 75 к, кокофанто элефанто лавовый 105 к. ||| у меня тоже такое было я у чела украл Los pot hotspot а у мя украли тралалеро тралала",неясно,slang
хороший,лучшего / лучшей / лучшие / лучший / получше / хорош / хорошая / хорошей / хорошем / хороший / хорошую,прил.,178,10.754862338280255,Это лучшие мемы ||| Я думал тебе в ответах обиженные дети будут писать что брайнрот хорошая игра ||| Клип самый лучший,,ru_dict
крокодило,кракадило / крокодилдо / крокодило / крокодина,имя,176,25.304809810709553,"Видели рекламу винлайн? Фрибетино крокодило этот ||| Это ""очень"" похоже на крокодило бомбардиро ||| бомбордиро крокодило","что-то, что вызывает недоумение, выглядит странно или вызывает ассоциации с крокодилом (возможно, из-за нелепого или вызывающего образа).",slang
тралалело,тралалело / тралалео / тралалеро / тралалэло / тралело,имя,171,30.519223409451065,"Ахахах меня ограбили и они получили тралалеро тралала а я ограбил их же в эту секунду но самми паука🗿 ||| С кем трейд с удин дин дин дун обычный , лос бомбинитос обычный 220 к, тралалеро тралала алмазная 75 к, кокофанто элефанто лавовый 105 к. ||| у меня тоже такое было я у чела украл Los pot hotspot а у мя украли тралалеро тралала",неясно,slang
